名称,地区
涵碧景苑,乌鲁木齐
乌鲁木齐市中央郡,乌鲁木齐
反恐维稳指挥中心,乌鲁木齐
骑马山西城社区集贸市场,乌鲁木齐
西盛社区西城康居苑进出口,乌鲁木齐
西盛弘华二幼,乌鲁木齐
乌鲁木齐沙依巴克区骑马山片区管委会骑马山社区骑马山维稳指挥部,乌鲁木齐
乌鲁木齐沙依巴克区骑马山片区管委会骑马山社区马山社区康居苑小区,乌鲁木齐
沙依巴克区工商局家属院,乌鲁木齐
沙依巴克区盛华庭小区,乌鲁木齐
乌鲁木齐市佳音医院,乌鲁木齐
沙依巴克区惠民小区5期,乌鲁木齐
康乐小院,乌鲁木齐
沙依巴克区青峰路惠民小区一期,乌鲁木齐
沙依巴克区红山市场,乌鲁木齐
沙依巴克区红山游泳馆,乌鲁木齐
沙依巴克区红山室外游泳馆,乌鲁木齐
乌鲁木齐市日报家属院,乌鲁木齐
沙依巴克区普力小区,乌鲁木齐
沙依巴克区克拉玛依东街棉麻公司家属院,乌鲁木齐
沙依巴克区大西北皮肤病医院,乌鲁木齐
西北路移动沙依巴克区公司,乌鲁木齐
沙依巴克区西北路移动公司,乌鲁木齐
沙依巴克区经二路217号如家快捷酒店,乌鲁木齐
乌鲁木齐市花园小区,乌鲁木齐
沙依巴克区奇台路畅园,乌鲁木齐
沙依巴克区公路勘察设计院住宅小区,乌鲁木齐
永鸿泰物流园,乌鲁木齐
宝盈酒店,乌鲁木齐
华凌公馆,乌鲁木齐
华凌公寓,乌鲁木齐
常青美食街,乌鲁木齐
海大之星,乌鲁木齐
家乐福,乌鲁木齐
国网电力,乌鲁木齐
乌鲁木齐天山区翠泉片区管委会碱泉东社新华楼小区,乌鲁木齐
乌鲁木齐天山区翠泉片区管委会向阳社区甜泉小区,乌鲁木齐
乌鲁木齐天山区大湾片区管委会进口大湾盐化小区,乌鲁木齐
乌鲁木齐天山区大湾管委会新翠社区东四巷岗亭,乌鲁木齐
乌鲁木齐天山区大湾管委会新翠社区东一巷岗亭,乌鲁木齐
乌鲁木齐天山区东门片区管委会东后南街社区南三巷大封闭小区,乌鲁木齐
乌鲁木齐天山区东门片区管委会东后南街社区南一巷大封闭小区,乌鲁木齐
天山区经济报家属院,乌鲁木齐
光华大厦,乌鲁木齐
乌鲁木齐天山区二道桥管委会宽北巷社区和平南路225号,乌鲁木齐
乌鲁木齐天山区体委家属院进口-体委家属院,乌鲁木齐
体委家属院,乌鲁木齐
乌鲁木齐天山区和平南路管委会-和平南路社区工一师家属院1,乌鲁木齐
乌鲁木齐天山区黑甲山管委会-北湾街社区园丁苑小区,乌鲁木齐
天山区健康路267号物资局家属院,乌鲁木齐
天山区光华路49号自治区党委家属院,乌鲁木齐
天山区中山路477号自治区政府家属院,乌鲁木齐
天山区人民路419号自治区储备局家属院,乌鲁木齐
天山区中山路500号建行家属院,乌鲁木齐
天山区明德路106号自治区政府家属院,乌鲁木齐
天山区人民路481号武警总队家属院,乌鲁木齐
天山区健康路一巷32号天竺苑,乌鲁木齐
天山区明德路38号发改委家属院,乌鲁木齐
天山区顺南巷1—5大杂院,乌鲁木齐
天山区前进路5号电业局家属院,乌鲁木齐
天山区健康路96号盐业公司家属院,乌鲁木齐
天山区天山路90号自治区建行家属院,乌鲁木齐
徕园花园小区,乌鲁木齐
天山区新泽园小区,乌鲁木齐
乌鲁木齐天山区胜利路管委会-多斯鲁克社区多斯鲁克厚德家属院,乌鲁木齐
乌鲁木齐天山区胜利路管委会-多斯鲁克社区多斯鲁克安居家属院,乌鲁木齐
乌鲁木齐天山区幸福路管委会宏大社区大湾北路十七巷口,乌鲁木齐
天山区恒昌欧景名苑（1期）,乌鲁木齐
天山区恒昌欧景名苑（3期）,乌鲁木齐
丝绸之路滑雪场旅游接待中心,乌鲁木齐
乌鲁木齐县冰雪小镇,乌鲁木齐
自建房区域,乌鲁木齐
乌鲁木齐新市区北京路管委会蜘蛛山社区青城巷,乌鲁木齐
乌鲁木齐新市区北京路管委会蜘蛛山社区汽配城,乌鲁木齐
乌鲁木齐新市区北京路管委会蜘蛛山社区29中路,乌鲁木齐
乌鲁木齐新市区北京路管委会蜘蛛山社区苏州路,乌鲁木齐
乌鲁木齐新市区北京路管委会蜘蛛山社区和平渠1826号,乌鲁木齐
乌鲁木齐新市区北京路管委会蜘蛛山社区阿勒泰路1826号,乌鲁木齐
乌鲁木齐新市区北京路管委会蜘蛛山社区上庄村,乌鲁木齐
锦绣年华小区,乌鲁木齐
瑞祥花苑,乌鲁木齐
金鑫花园小区,乌鲁木齐
联汇农贸市场,乌鲁木齐
八街市场,乌鲁木齐
新市区八街小区,乌鲁木齐
高昌区绿岛国际小区,吐鲁番
高昌区绿洲路菜市场,吐鲁番
高昌区亚尔镇西门社区,吐鲁番
高昌区群艺馆,吐鲁番
高昌区全季酒店,吐鲁番
高昌区葡萄沟景区,吐鲁番
吐鲁番市人民医院,吐鲁番
高昌区巴格日社区,吐鲁番
鄯善县万振蝴蝶泉小区,吐鲁番
鄯善菜篮子超市,吐鲁番
托克逊县滨河小区,吐鲁番
托克逊县九龙农贸市场,吐鲁番
鄯善县库克塔格沙漠景区,吐鲁番
650203610000006001,邮建北小区
650203640000003001,芳草家园
650203630000010001,金桂园
650203640000001001,和谐家园小区
650203630000029101,新疆油田数据公司
650205650000003001,龙翔小区
650204650000004001,五亭小区
博雅苑一区,阿克苏地区
聚嘉豪庭小区,阿克苏地区
温馨小区,阿克苏地区
花园小区,阿克苏地区
滨湖小区B区,阿克苏地区
聚嘉豪庭小区,阿克苏地区
拖峰小区,阿克苏地区
丽都宾馆,阿克苏地区
龙都宾馆,阿克苏地区
帕万拉检查站,阿克苏地区
温宿县人民医院,阿克苏地区
姑墨广场,阿克苏地区
新城区农贸市场,阿克苏地区
锦绣江南停车场,阿克苏地区
恒基明苑,阿克苏地区
阿热勒大桥检查站,阿克苏地区
和谐小区,克州
阿克陶县宾馆,克州
阿克陶县公安局,克州
阿克陶县综合农贸市场,克州
幸福社区,克州
帕米尔小区,克州
炎武小区,克州
乐陶苑小区,克州
政府宾馆,克州
政府大院,克州
喀热开其克检查站,克州
棉麻小区,克州
比纳木村委会,克州
二号小区,喀什
中国移动喀什地区分公司,喀什
恒昌一期小区,喀什
恒昌一期小区,喀什
喀什市公安局,喀什
康馨小区,喀什
温馨小区,喀什
天安名门步行街入口,喀什
滨江新城小区,喀什
和田市纳尔巴格街道阿格其布拉克社区,和田
民光医院,和田
地区教育学院家属院,和田
和田第一中学,和田
和田市纳尔巴格街道安康社区,和田
泰和园小区,和田
和田市纳尔巴格街道安民社区,和田
陇缘商务宾馆,和田
和田市纳尔巴格街道北泉社区,和田
和田市纳尔巴格街道大巴扎社区,和田
昆仑绿洲苑,和田
福利公司家属院,和田
艾力胡西宾馆,和田
钻石宾馆,和田
家和园,和田
玉石宾馆,和田
新生招待所,和田
喀什民意招待所,和田
库吐里克招待所,和田
新金沙湾宾馆,和田
安居小区（集贸市场）,和田
和田市纳尔巴格街道台北西路社区,和田
纳尔巴格街道,和田
丝都宾馆,和田
宝地花园,和田
兴旺社区,和田
和田市纳尔巴格街道依来克社区,和田
侨民宾馆,和田
和田市友好医院,和田
文工团家属院,和田
华新团结医院,和田
千僖宾馆,和田
遇缘久久宾馆,和田
美居花园小区,和田
地区检察院家属院,和田
地区运管局家属院,和田
白金宾馆,和田
行署第一家属院,和田
和田市努尔巴格街道纳尔巴格社区,和田
凯达眼光一期小区,和田
凯达眼光二期小区,和田
德亚小区,和田
和田科学技术局,和田
地区中心血站,和田
悦缘宾馆,和田
速8酒店,和田
文工团家属院,和田
新华书店,和田
凯斯宾馆,和田
和华小区,和田
玫瑰花园小区,和田
和田工商局家属院,和田
和田教育局家属院,和田
和田住房和城乡建设局,和田
友谊花园小区,和田
西域明珠小区,和田
和田市爱然巴格宾馆,和田
洛浦县阿其克乡比来勒克村昆仑幼儿园,和田
比来勒克村委会,和田
洛浦县阿其克学校,和田
阿其克乡卫生院,和田
洛浦县阿其克乡中心幼儿园,和田
喀勒台拜勒村委会,和田
阿其克乡巴扎,和田
吾鲁格拜勒村委会,和田
洛浦县阿其克乡央塔克勒克村山泉幼儿园,和田
央塔克勒克村委会,和田
洛浦县杭桂镇阿日希村雅瀚幼儿园,和田
洛浦县拜什托格拉克乡中心幼儿园,和田
洛浦县拜什托格拉克乡拜什托格拉克村小学,和田
洛浦县拜什托格拉克乡中心小学,和田
拜什托格拉克乡巴扎,和田
洛浦县拜什托格拉克乡拜什托格拉克村胡杨幼儿园,和田
拜什拖格拉克村委会,和田
洛浦县拜什托格拉克乡和融新村新和幼儿园,和田
拜什托格拉克乡和融新村委会,和田
洛浦县拜什托格拉克乡喀迪尔墩村和谐幼儿园,和田
喀迪尔墩村委会,和田
洛浦县拜什托格拉克乡穆纳墩村苁蓉幼儿园,和田
穆纳墩村委会,和田
洛浦县拜什托格拉克乡苏盖特博斯坦村金沙幼儿园,和田
洛浦县拜什托格拉克乡苏盖特博斯坦小学,和田
苏盖特博斯坦村委会,和田
洛浦县拜什托格拉克乡托格拉克博斯坦村向日葵幼儿园,和田
洛浦县拜什托格拉克乡托格拉克博斯坦小学,和田
托格拉克博斯坦村委会,和田
亚阔恰村委会,和田
拜什托格拉克乡检查站,和田
伊斯勒克墩村委会,和田
依力库都克村委会,和田
洛浦县拜什托格拉克乡依提帕克吾斯唐村团结幼儿园,和田
洛浦县拜什托格拉克乡依提帕克吾斯唐小学,和田
依提帕克吾斯塘村委会,和田
洛浦县拜什托格拉克乡中学,和田
拜什托格拉克乡卫生院,和田
洛浦县布亚乡阿勒提来村晨珠幼儿园,和田
洛浦县布亚乡阿里提乐小学,和田
洛浦县布亚乡阿亚格苏勒瓦村清华幼儿园,和田
洛浦县布亚乡阿亚格夏合勒克村乐智幼儿园,和田
洛浦县布亚乡阿亚克昆孜村朝阳幼儿园,和田
阿亚克昆孜村村委会,和田
洛浦县布亚乡巴什昆孜村晨光幼儿园,和田
洛浦县布亚乡巴什苏勒瓦村红旗幼儿园,和田
洛浦县布亚乡苏里瓦小学,和田
洛浦县布亚乡沙合里克小学,和田
布亚乡乡政府,和田
洛浦县布亚乡布亚阿日希村童梦幼儿园,和田
洛浦县布亚乡中学,和田
布亚乡卫生院,和田
洛浦县布亚乡合热万村金光幼儿园,和田
洛浦县布亚乡库尼孜牙小学,和田
洛浦县布亚乡和谐村光明幼儿园,和田
洛浦县布亚乡和谐小学,和田
洛浦县布亚乡坎其艾日克村明航幼儿园,和田
洛浦县布亚乡巴西恰里米牙小学,和田
洛浦县布亚乡坎其日克小学,和田
洛浦县布亚乡坎特艾日克村黎明幼儿园,和田
洛浦县布亚乡库玛提村圆梦幼儿园,和田
洛浦县布亚乡库玛提教学点,和田
洛浦县布亚乡库木阿孜玛村星光幼儿园,和田
洛浦县布亚乡欧吐拉昆孜村春晖幼儿园,和田
洛浦县布亚乡恰勒米村月光幼儿园,和田
洛浦县布亚乡恰里米牙小学,和田
洛浦县布亚乡苏盖提艾日克村欣荣幼儿园,和田
洛浦县布亚乡塔木艾格勒村旭日幼儿园,和田
洛浦县布亚乡塔米艾格里小学,和田
洛浦县布亚乡塔木其拉村启明幼儿园,和田
洛浦县布亚乡塔米其拉小学,和田
洛浦县布亚乡铁提尔村禾苗幼儿园,和田
洛浦县布亚乡团结村育才幼儿园,和田
洛浦县布亚乡乌其鲁克库木村彩虹幼儿园,和田
洛浦县布亚乡亚依力干村童心幼儿园,和田
民乐个体诊所,和田
洛浦县布亚乡中心幼儿园,和田
洛浦县布亚乡中心小学,和田
洛浦县布亚乡依其克尔克恰尔巴格村花朵幼儿园,和田
人才公寓,和田
玉泉小区,和田
计生家属院,和田
农发行家属院,和田
养路段家属院,和田
富康小区,和田
洛浦县公路管理局洛浦县养护站,和田
中国农业发展银行洛浦县分行,和田
洛浦县第三幼儿园,和田
牙康口腔诊所,和田
县人民医院,和田
安江巴格社区居委会,和田
安江巴格路检查站,和田
安居小区,和田
金光小区,和田
安居社区居委会,和田
依格孜艾日克路检查站,和田
电力公司小区,和田
农机小区,和田
中国电信洛浦分公司,和田
国网新疆电力公司洛浦县分电力公司,和田
洛浦县农机局,和田
洛浦县第四幼儿园,和田
洛浦县第四小学,和田
维吾尔医院,和田
安心小区,和田
光明小区,和田
洛浦县丝绸之路电子商务有限公司,和田
市场开发管理中心,和田
大巴扎社区居委会,和田
洛浦风情园,和田
城区大巴扎,和田
民族风情园,和田
城区大巴扎9处,和田
城区大巴扎0处,和田
城区大巴扎7处,和田
城区大巴扎8处,和田
洛浦县汇源宾馆,和田
大巴扎检查站,和田
和田路检查站,和田
洛浦中国人寿公司,和田
洛浦县第三小学,和田
爱百星医院,和田
民光个体诊所,和田
美龈三代口腔诊所,和田
古勒巴格社区居委会,和田
和田路检查站,和田
326省道检查站,和田
保险公司家属院,和田
人民银行家属院,和田
国税局家属院,和田
洛浦客运站,和田
和佳小区,和田
种子公司家属院,和田
洛安小区,和田
花园小区,和田
世纪新城小区,和田
洛浦县住建局,和田
政法委,和田
自来水公司,和田
洛浦县人民法院,和田
人力资源市场,和田
洛浦县国土局,和田
洛浦县县委,和田
洛浦县党校（新）,和田
洛浦县公安森林警察大队,和田
城区街道派出所,和田
洛浦县北京幼儿园,和田
洛浦县第一幼儿园,和田
洛浦县第二小学,和田
自来水公司,和田
洛浦会务接待中心,和田
洛浦县天源宾馆,和田
洛浦县金海岸宾馆,和田
北京西路检查站,和田
山普鲁路检查站,和田
水泥厂家属院,和田
慕士塔格小区,和田
洛浦县道路运输管理局,和田
洛浦县档案局,和田
福康个体诊所,和田
心连心医院,和田
喀勒尕其巴格社区居委会,和田
文化路检查站,和田
地税局家属院,和田
美局小区,和田
政法小区,和田
国税局家属院,和田
洛浦县新华书店,和田
洛浦县税务局,和田
金更罗克曼医院,和田
喀赞巴格社区居委会,和田
城区供销商贸城菜市场,和田
洛浦县鸿源宾馆,和田
洛浦县万豪主题宾馆,和田
双拥路检查站,和田
玉河苑,和田
司法局\教培局,和田
洛浦县第二幼儿园,和田
库拉买里社区居委会,和田
民乐小区,和田
水利局小区,和田
公安局家属院,和田
洛浦县疾控中心,和田
洛浦县公安局,和田
水利局,和田
洛浦县妇幼保健站,和田
城区街道办事处卫生院,和田
妇幼保健医院,和田
杭桂路检查站,和田
团结小区,和田
玉福小区,和田
工行家属院,和田
乌敦小区,和田
移动公司,和田
洛浦县邮政分公司,和田
工商银行洛浦支行,和田
供暖公司,和田
民间传承个体诊所,和田
多鲁路检查站,和田
夏玛里巴格社区居委会,和田
玉都小区,和田
工商局家属院,和田
广场花园小区,和田
洛浦县公安局,和田
依格孜艾日克检查站,和田
幸福小区,和田
电信家属院,和田
邮政家属院,和田
供销社家属院,和田
工商局小区,和田
洛浦县第五幼儿园,和田
洛浦县第一小学,和田
第二小学,和田
英巴格社区居委会,和田
供销社处,和田
6省道检查站,和田
园丁小区,和田
老公安局家属楼,和田
和谐小区,和田
胜利小区,和田
广电局家属院,和田
斯迪克小区,和田
郝永梅个体诊所,和田
洛浦县文广局,和田
联通公司,和田
文化活动中心,和田
洛浦县第二中学,和田
洛浦县第三中学,和田
健齿口腔诊所,和田
英巴扎社区居委会,和田
广电局,和田
丝路小区,和田
信用社家属院,和田
洛浦小区,和田
民政小区,和田
物流创业园,和田
中国电信洛浦县分公司,和田
农行洛浦县支行,和田
洛浦县农村信用合作联社,和田
洛浦县烟草专卖局,和田
牙医口腔诊所,和田
艾德莱斯广场,和田
洛浦县艾德莱斯商务宾馆,和田
洛浦县友好宾馆,和田
洛浦县恰尔巴格乡布孜牙教学点,和田
巴格其村村委会,和田
洛浦县多鲁乡巴什艾日克村育新幼儿园,和田
洛浦县多鲁乡巴什艾日克小学,和田
巴什艾日克村村委会,和田
洛浦县多鲁乡巴什央都玛村博苑幼儿园,和田
洛浦县多鲁乡亚都玛小学,和田
巴什央都玛村村委会,和田
洛浦县多鲁乡博斯坦村楼兰幼儿园,和田
洛浦县多鲁乡布斯坦小学,和田
博斯坦村村委会,和田
布格拉库木村村委会,和田
洛浦县多鲁乡库里艾热克小学,和田
墩阿孜玛村委会,和田
洛浦县多鲁乡中心幼儿园,和田
洛浦县多鲁乡中心小学,和田
墩库孜来克村村委会,和田
洛浦县多鲁乡产动教学点,和田
墩吾斯塘村村委会,和田
光明村村委会,和田
洛浦县多鲁乡哈勒瓦甫村博爱幼儿园,和田
洛浦县多鲁乡哈勒瓦甫小学,和田
哈勒瓦甫村村委会,和田
洛浦县多鲁乡加郎艾日克村安居幼儿园,和田
加郎艾日克村村委会,和田
洛浦县多鲁乡喀尕艾日克村枫叶幼儿园,和田
洛浦县多鲁乡喀尕艾日克小学,和田
喀尕艾日克村村委会,和田
洛浦县多鲁乡喀合勒克村佳鑫幼儿园,和田
洛浦县多鲁乡卡克理克小学,和田
喀合勒克村村委会,和田
洛浦县多鲁乡喀勒台阔台买村合佳幼儿园,和田
洛浦县多鲁乡阿牙格库塔玛小学,和田
喀勒台阔台买村村委会,和田
洛浦县多鲁乡喀让古托格拉克村佳慧幼儿园,和田
洛浦县多鲁乡布孜牙教学点,和田
喀让古托格拉克村委会,和田
洛浦县多鲁乡喀瓦吐格曼贝希村兴民幼儿园,和田
喀瓦吐格曼贝希村村委会,和田
库都克艾日克村村委会,和田
洛浦县多鲁乡库勒艾日克村仁爱幼儿园,和田
库勒艾日克村村委会委会,和田
多鲁乡巴扎,和田
库依肉克艾日克村村委会,和田
阔尕其艾日克村村委会,和田
洛浦县多鲁乡阔台买村富民幼儿园,和田
洛浦县多鲁乡巴西库塔玛小学,和田
阔台买村村委会,和田
洛浦县多鲁乡欧依曼央塔克村小红花幼儿园,和田
洛浦县多鲁乡吾依曼小学,和田
奥依曼英塔克村村委会,和田
恰克玛村村委会,和田
琼库尔吾斯塘村村委会,和田
色日克村村委会,和田
洛浦县多鲁乡阔尕其艾日克村新华幼儿园,和田
塔尕其艾日克村村委会,和田
洛浦县多鲁乡塔合塔科瑞克村玉都幼儿园,和田
塔合塔科瑞克村村委会,和田
洛浦县多鲁乡塔吾尕孜村华光幼儿园,和田
洛浦县多鲁乡第二中学,和田
塔吾尕孜村村委会,和田
洛浦县多鲁乡塘玛合尼村新世纪幼儿园,和田
塘玛合尼村村委会,和田
洛浦县多鲁乡托格拉艾日克村英才幼儿园,和田
洛浦县多鲁乡热合曼浦尔小学,和田
托格拉艾日克村村委会,和田
洛浦县多鲁乡托勒尕什村博识幼儿园,和田
洛浦县多鲁乡托勒尕什小学,和田
托勒尕什村村委会,和田
洛浦县多鲁乡硝尔阔台克村成才幼儿园,和田
洛浦县多鲁乡硝尔阔台克小学,和田
硝尔阔台克村村委会,和田
硝尔阔台小学,和田
洛浦县多鲁乡第一中学,和田
新时代口腔诊所,和田
多鲁乡卫生院,和田
尧勒其库勒村村委会,和田
英艾日克村村委会,和田
英艾日克村委会,和田
英阔台买村村委会,和田
洛浦县杭桂镇阿尔都克库木村梧桐幼儿园,和田
洛浦县杭桂镇阿地库木小学,和田
杭桂镇阿尔喀依来克村,和田
洛浦县杭桂镇阿克艾日克村起航幼儿园,和田
杭桂镇阿克艾日克村,和田
洛浦县杭桂镇阿其玛艾日克村天星幼儿园,和田
杭桂镇阿其玛艾日克村,和田
杭桂镇阿日希村,和田
杭桂镇阿日希村雅翰幼儿园,和田
洛浦县杭桂镇阿瓦米斯力木村精诚幼儿园,和田
杭桂镇阿瓦米斯力木村,和田
洛浦县杭桂镇阿亚格苏尕克库木村阳光幼儿园,和田
洛浦县杭桂镇苏格库木小学,和田
杭桂镇阿亚格苏尕克库木村,和田
杭桂镇巴格齐村,和田
洛浦县杭桂镇巴格齐村启蒙幼儿园,和田
洛浦县杭桂镇巴格齐小学,和田
洛浦县杭桂镇巴什艾克尼村金豆幼儿园,和田
洛浦县杭桂镇巴什艾克尼小学,和田
杭桂镇巴什艾克尼村,和田
杭桂镇白格艾日克小学,和田
洛浦县杭桂镇伯克艾日克村丽春幼儿园,和田
杭桂镇伯克艾日克村,和田
杭桂镇巴扎,和田
洛浦县杭桂镇墩艾日克村知恩幼儿园,和田
洛浦县杭桂镇东艾日克小学,和田
杭桂镇墩艾日克村,和田
洛浦县杭桂镇和佳新村大漠幼儿园,和田
洛浦县杭桂镇和佳小学,和田
杭桂镇和佳新村,和田
和佳新村检查站,和田
洛浦县杭桂镇霍热孜托格拉克村明珠幼儿园,和田
洛浦县杭桂镇湖拉孜拖拉克小学,和田
杭桂镇霍热孜托格拉克村,和田
洛浦县杭桂镇喀格孜艾日克村同心幼儿园,和田
洛浦县杭桂镇克格孜艾热克小学,和田
洛浦县杭桂镇第二中学,和田
杭桂镇喀格孜艾日克村,和田
洛浦县杭桂镇康托喀依村星海幼儿园,和田
杭桂镇康托喀依村,和田
库木巴格村委会,和田
洛浦县杭桂镇库木巴格村童乐幼儿园,和田
洛浦县杭桂镇库木巴格小学,和田
洛浦县杭桂镇第一中学,和田
便民个体诊所,和田
洛浦县杭桂镇库木吾斯唐村百灵鸟幼儿园,和田
洛浦县杭桂镇阔纳杭桂村金童幼儿园,和田
洛浦县杭桂镇兰干艾日克村兴国幼儿园,和田
洛浦县杭桂镇兰格尔小学,和田
杭桂镇兰干艾日克村,和田
杭桂镇欧吐拉艾日克村,和田
洛浦县杭桂镇庞买里村,和田
洛浦县杭桂镇庞买里村馨悦幼儿园,和田
杭桂镇皮凉艾日克村,和田
洛浦县杭桂镇其伯尔其艾日克村石榴幼儿园,和田
洛浦县杭桂镇其力盖加依村忠德幼儿园,和田
洛浦县杭桂镇其理格加依小学,和田
杭桂镇其力盖加依村,和田
杭桂镇其木吾斯塘村,和田
洛浦县杭桂镇琼库尔艾日克村开心幼儿园,和田
杭桂镇卫生院,和田
杭桂镇琼库尔艾日克村,和田
洛浦县杭桂镇热合曼普尔村惠民幼儿园,和田
洛浦县杭桂镇热合曼浦小学,和田
杭桂镇热合曼普尔村,和田
洛浦县萨喀勒村,和田
杭桂镇塔盘村,和田
洛浦县杭桂镇塔盘村爱心幼儿园,和田
洛浦县杭桂镇通喀依艾日克村童趣幼儿园,和田
杭桂镇通喀依艾日克村,和田
洛浦县杭桂镇托库孜喀勒拉村育强幼儿园,和田
杭桂镇托库孜喀勒拉村,和田
杭桂镇托万皮切克其村,和田
洛浦县杭桂镇托万皮切克其村景春幼儿园,和田
洛浦县杭桂镇皮且克其小学,和田
洛浦县杭桂镇吾斯堂吾其小学,和田
洛浦县杭桂镇吾斯塘乌其村珍宝幼儿园,和田
洛浦县洛浦镇幸福小学,和田
洛浦县杭桂镇英巴格村春晓幼儿园,和田
洛浦县杭桂镇英巴克小学,和田
杭桂镇英巴格村,和田
